artifact_file,scenario_id,target_actor_id,num_modes,prediction_steps,ego_future_steps,target_future_steps,probability_sum,joint_valid_steps,status,notes
05993d6d-677d-4b49-834e-40eb484c07c3.npz,05993d6d-677d-4b49-834e-40eb484c07c3,10051,6,60,60,60,0.9999999759064622,60,pass,
059f2e75-a317-4d24-96bc-7552e31f6c44.npz,059f2e75-a317-4d24-96bc-7552e31f6c44,27637,6,60,60,60,0.9999999796273187,60,pass,
05a0577c-8078-48ea-8467-9fbb9133cd17.npz,05a0577c-8078-48ea-8467-9fbb9133cd17,36049,6,60,60,60,1.0000000440576144,60,pass,
05a2ec36-5651-4948-b3f4-314e866249a1.npz,05a2ec36-5651-4948-b3f4-314e866249a1,41389,6,60,60,60,1.0000000183936208,60,pass,
05a40038-04ad-4e19-a368-b632d8a0c1b4.npz,05a40038-04ad-4e19-a368-b632d8a0c1b4,200128,6,60,60,60,0.9999999906867743,60,pass,
05b49092-4251-49aa-88a3-142942c726fc.npz,05b49092-4251-49aa-88a3-142942c726fc,24695,6,60,60,60,0.9999999757856131,60,pass,
05c104fb-7bc9-43c6-9a84-d92ccc976933.npz,05c104fb-7bc9-43c6-9a84-d92ccc976933,19484,6,60,60,60,0.9999999711290002,60,pass,
05c40925-412e-4f07-a040-0bcbce8d6636.npz,05c40925-412e-4f07-a040-0bcbce8d6636,111557,6,60,60,60,1.0000000670552254,60,pass,
05ca6587-2b44-434f-8afc-66cb051e0dac.npz,05ca6587-2b44-434f-8afc-66cb051e0dac,85599,6,60,60,60,0.9999999590218067,60,pass,
05cafb77-d787-447f-ae22-d23992fda397.npz,05cafb77-d787-447f-ae22-d23992fda397,551,6,60,60,60,0.9999999850988388,60,pass,
05d3d922-51b6-4ed3-a66e-aaef80f9645d.npz,05d3d922-51b6-4ed3-a66e-aaef80f9645d,63484,6,60,60,60,1.0,60,pass,
05d74091-6e10-4c7a-ad7a-37ea19563f62.npz,05d74091-6e10-4c7a-ad7a-37ea19563f62,44389,6,60,60,60,1.0000000565778464,60,pass,
05e029de-0889-4c98-ba80-192318b8d3fb.npz,05e029de-0889-4c98-ba80-192318b8d3fb,297,6,60,60,60,1.0000000558793545,60,pass,
05e1f19b-cdf8-4197-aba4-97c0f2423df6.npz,05e1f19b-cdf8-4197-aba4-97c0f2423df6,73072,6,60,60,60,0.9999999329447746,60,pass,
05e3dab0-78b4-46f6-9759-59668d5461b7.npz,05e3dab0-78b4-46f6-9759-59668d5461b7,5543,6,60,60,60,0.9999999434221536,60,pass,
05eafa65-edc3-403a-8027-f711292ba448.npz,05eafa65-edc3-403a-8027-f711292ba448,11334,6,60,60,60,0.9999999364372343,60,pass,
05ee47df-f6f9-44b8-b9f2-8f09252eac5d.npz,05ee47df-f6f9-44b8-b9f2-8f09252eac5d,15258,6,60,60,60,0.9999999795109034,60,pass,
05fd77cd-1075-40bb-ab6e-55478b2fa8d2.npz,05fd77cd-1075-40bb-ab6e-55478b2fa8d2,146839,6,60,60,60,0.9999999590055495,60,pass,
05fe41c9-12b0-4c09-95e2-4c8f5fc4c100.npz,05fe41c9-12b0-4c09-95e2-4c8f5fc4c100,176195,6,60,60,60,0.9999999636784196,60,pass,
060c7e75-8daf-4401-bd16-3ce1c3b6513f.npz,060c7e75-8daf-4401-bd16-3ce1c3b6513f,112775,6,60,60,60,0.9999999180436134,60,pass,
061ebc35-5e26-4953-8d7b-528d3783c2f2.npz,061ebc35-5e26-4953-8d7b-528d3783c2f2,145077,6,60,60,60,1.0000000231084414,60,pass,
0629a619-9495-40c9-a3ba-a4c56fbc0ffc.npz,0629a619-9495-40c9-a3ba-a4c56fbc0ffc,4023,6,60,60,60,0.9999999180436134,60,pass,
06350990-3558-4112-8422-9ec06cc82384.npz,06350990-3558-4112-8422-9ec06cc82384,127165,6,60,60,60,0.9999999757856131,60,pass,
063afa9a-14e4-43c1-93c4-46334e8a991d.npz,063afa9a-14e4-43c1-93c4-46334e8a991d,21312,6,60,60,60,0.9999999366700649,60,pass,
063fac1f-0aa1-4ff1-a1f5-8da222f2425b.npz,063fac1f-0aa1-4ff1-a1f5-8da222f2425b,67853,6,60,60,60,0.9999999901629053,60,pass,
06519206-50d3-41d9-a355-5b6e7b16564f.npz,06519206-50d3-41d9-a355-5b6e7b16564f,222376,6,60,60,60,1.0000000335276127,60,pass,
065ac7fa-6164-4ddd-b95b-5a07d1235210.npz,065ac7fa-6164-4ddd-b95b-5a07d1235210,6565,6,60,60,60,0.9999999571591616,60,pass,
065b0f89-5bdd-4be5-a2c0-e29cc3fcfbfd.npz,065b0f89-5bdd-4be5-a2c0-e29cc3fcfbfd,171696,6,60,60,60,0.9999999608844519,60,pass,
06692435-c709-4077-ad94-b6b5694026e7.npz,06692435-c709-4077-ad94-b6b5694026e7,94452,6,60,60,60,0.9999999986030161,60,pass,
06693ec1-4922-482e-9d94-a6429d93d78d.npz,06693ec1-4922-482e-9d94-a6429d93d78d,20748,6,60,60,60,0.9999999534338713,60,pass,
066f14e3-da5e-4ca1-a29c-bc89b567b7ce.npz,066f14e3-da5e-4ca1-a29c-bc89b567b7ce,89120,6,60,60,60,0.9999999981373549,60,pass,
066f9ddb-657c-4acf-81f8-b3e9239e73b5.npz,066f9ddb-657c-4acf-81f8-b3e9239e73b5,33583,6,60,60,60,1.0000000149011612,60,pass,
0671cb81-38e2-4edc-9d00-8b77ebfdf4bc.npz,0671cb81-38e2-4edc-9d00-8b77ebfdf4bc,36568,6,60,60,60,0.9999999366700649,60,pass,
06731c60-8951-4075-8ec8-64cbe8c92e9e.npz,06731c60-8951-4075-8ec8-64cbe8c92e9e,18048,6,60,60,60,1.0000000074505806,60,pass,
0679bb28-ec08-4f39-ab8f-fd6b64695e6a.npz,0679bb28-ec08-4f39-ab8f-fd6b64695e6a,4820,6,60,60,60,0.9999999378924258,60,pass,
067dad19-6c3e-421c-9288-7c6fc36eea48.npz,067dad19-6c3e-421c-9288-7c6fc36eea48,9427,6,60,60,60,0.9999999552965164,60,pass,
068c1198-0a52-4616-8505-70e066fa4f4b.npz,068c1198-0a52-4616-8505-70e066fa4f4b,93378,6,60,60,60,0.9999999552965164,60,pass,
06938a52-155f-48eb-ac49-b89a16fe38f0.npz,06938a52-155f-48eb-ac49-b89a16fe38f0,24934,6,60,60,60,1.0,60,pass,
06a5eed4-52cc-45a3-ad5e-a848610dbb42.npz,06a5eed4-52cc-45a3-ad5e-a848610dbb42,107286,6,60,60,60,0.9999999956926331,60,pass,
06a64536-143f-401b-bb65-f719f37f9794.npz,06a64536-143f-401b-bb65-f719f37f9794,58741,6,60,60,60,1.0000000447034836,60,pass,
06a99c79-84eb-48ac-9728-f122d21d1b95.npz,06a99c79-84eb-48ac-9728-f122d21d1b95,16731,6,60,60,60,0.999999918974936,60,pass,
06ac53e3-edc2-4e85-960c-de7570fb853f.npz,06ac53e3-edc2-4e85-960c-de7570fb853f,88843,6,60,60,60,0.9999999776482582,60,pass,
06bbd6f6-c860-40a5-b4e3-0bed4a4a9263.npz,06bbd6f6-c860-40a5-b4e3-0bed4a4a9263,208947,6,60,60,60,1.0000000507570803,60,pass,
06c3f78f-728e-4d8d-b66b-0c6f569e91ff.npz,06c3f78f-728e-4d8d-b66b-0c6f569e91ff,108751,6,60,60,60,1.0000000223517418,60,pass,
06c7bd66-9ab6-457c-b52a-4ca1f9b320cd.npz,06c7bd66-9ab6-457c-b52a-4ca1f9b320cd,113199,6,60,60,60,1.0000000074505806,60,pass,
06dc40f6-7ded-49e4-9970-2e5b65d33526.npz,06dc40f6-7ded-49e4-9970-2e5b65d33526,3741,6,60,60,60,0.9999999701976776,60,pass,
06df5022-41b1-47cf-aa7d-cff3f741a01d.npz,06df5022-41b1-47cf-aa7d-cff3f741a01d,210349,6,60,60,60,1.000000053551048,60,pass,
06e568ca-454b-4cd2-819e-77c54f024288.npz,06e568ca-454b-4cd2-819e-77c54f024288,216676,6,60,60,60,1.000000026077032,60,pass,
06ecda93-ff7c-4fbf-a048-ab19d8caf89a.npz,06ecda93-ff7c-4fbf-a048-ab19d8caf89a,1174,6,60,60,60,0.9999999478459358,60,pass,
06f1dbf4-0f95-4b44-9a2a-ac0727be5f21.npz,06f1dbf4-0f95-4b44-9a2a-ac0727be5f21,70728,6,60,60,60,1.0000000649597496,60,pass,
06f42696-d3bd-409d-a004-c34165546a78.npz,06f42696-d3bd-409d-a004-c34165546a78,71799,6,60,60,60,1.0000000186264515,60,pass,
06fa0bf1-89db-49a2-ac6f-f8af1d3113fd.npz,06fa0bf1-89db-49a2-ac6f-f8af1d3113fd,70815,6,60,60,60,1.0000000347063178,60,pass,
06feadca-bef7-40df-bf59-80dfcb3c382e.npz,06feadca-bef7-40df-bf59-80dfcb3c382e,36640,6,60,60,60,1.000000034272034,60,pass,
0709ef33-3222-45f8-ba08-833d38627f2f.npz,0709ef33-3222-45f8-ba08-833d38627f2f,149026,6,60,60,60,0.9999999962747097,60,pass,
070f53a2-67e5-44f2-860b-cb77e3b9f042.npz,070f53a2-67e5-44f2-860b-cb77e3b9f042,6943,6,60,60,60,0.999999949708581,60,pass,
07107f8f-7128-42a9-b10a-e4721aa0d196.npz,07107f8f-7128-42a9-b10a-e4721aa0d196,16718,6,60,60,60,1.0000000558793545,60,pass,
0715400c-6ab6-4eba-83ee-0334dc2b4036.npz,0715400c-6ab6-4eba-83ee-0334dc2b4036,29578,6,60,60,60,0.9999999850988388,60,pass,
071df018-2373-4e69-8937-625300b090a3.npz,071df018-2373-4e69-8937-625300b090a3,3965,6,60,60,60,1.0000000223517418,60,pass,
07260488-77e6-421a-a84c-92ad11d8830e.npz,07260488-77e6-421a-a84c-92ad11d8830e,40144,6,60,60,60,1.0000000279396772,60,pass,
072617d6-0d73-41f5-96b8-1d348e962ebe.npz,072617d6-0d73-41f5-96b8-1d348e962ebe,58310,6,60,60,60,0.9999999552965164,60,pass,
0726c9f9-27e6-4118-9de4-316162f7a847.npz,0726c9f9-27e6-4118-9de4-316162f7a847,94486,6,60,60,60,1.0000000194058885,60,pass,
07293d28-b369-473b-82b9-1f1c607ed738.npz,07293d28-b369-473b-82b9-1f1c607ed738,196741,6,60,60,60,1.0,60,pass,
072a9212-f62a-4440-baed-39d56ebd30af.npz,072a9212-f62a-4440-baed-39d56ebd30af,5643,6,60,60,60,0.9999999396968633,60,pass,
072eb06b-7f4e-4da6-9e29-6127d5f31fd0.npz,072eb06b-7f4e-4da6-9e29-6127d5f31fd0,13533,6,60,60,60,1.0000000438885763,60,pass,
0736995d-fef6-48fc-a0a6-aa7bf646be33.npz,0736995d-fef6-48fc-a0a6-aa7bf646be33,21317,6,60,60,60,1.0000000037252903,60,pass,
0739e582-0f8b-41b9-9117-69c74e2a1321.npz,0739e582-0f8b-41b9-9117-69c74e2a1321,76862,6,60,60,60,0.9999999664723873,60,pass,
07462067-29e6-476f-a505-c631d1c3ee7c.npz,07462067-29e6-476f-a505-c631d1c3ee7c,97751,6,60,60,60,1.0000000251784513,60,pass,
0747a5c6-5a36-41c1-89b8-b43db3ab2b2e.npz,0747a5c6-5a36-41c1-89b8-b43db3ab2b2e,190232,6,60,60,60,1.000000071740942,60,pass,
074902cf-5016-408c-93eb-cc25a21a3333.npz,074902cf-5016-408c-93eb-cc25a21a3333,96922,6,60,60,60,0.9999999711290002,60,pass,
07496816-577a-40d3-b8f5-9c0555aef9b4.npz,07496816-577a-40d3-b8f5-9c0555aef9b4,36154,6,60,60,60,1.000000020430889,60,pass,
07518c58-f0bd-4038-b890-71d8ce4cae45.npz,07518c58-f0bd-4038-b890-71d8ce4cae45,24350,6,60,60,60,0.9999999760984792,60,pass,
075d881a-3add-4ab1-8765-914cd33e5e73.npz,075d881a-3add-4ab1-8765-914cd33e5e73,196259,6,60,60,60,1.0000000279396772,60,pass,
0760fac1-97e5-4754-ad8e-05bad208025b.npz,0760fac1-97e5-4754-ad8e-05bad208025b,58404,6,60,60,60,0.9999999147922836,60,pass,
0767fdf0-2796-4357-be69-d45153556ec7.npz,0767fdf0-2796-4357-be69-d45153556ec7,45309,6,60,60,60,1.0000000018626451,60,pass,
077f4c29-06cb-47fb-a710-11cfd0e4006d.npz,077f4c29-06cb-47fb-a710-11cfd0e4006d,65322,6,60,60,60,0.9999999887659214,60,pass,
07890cbf-6dd9-43a1-adbc-3932d0aa4889.npz,07890cbf-6dd9-43a1-adbc-3932d0aa4889,36235,6,60,60,60,1.0000000670552254,60,pass,
078e6a5c-1b04-4076-922c-0c368ee70124.npz,078e6a5c-1b04-4076-922c-0c368ee70124,79968,6,60,60,60,0.9999999625142664,60,pass,
07979c36-ed58-4b6a-b777-e53ea599e113.npz,07979c36-ed58-4b6a-b777-e53ea599e113,4723,6,60,60,60,1.0000000266591087,60,pass,
079d8fce-87a3-4271-8cfe-62f18570bae6.npz,079d8fce-87a3-4271-8cfe-62f18570bae6,67081,6,60,60,60,1.0000000409781933,60,pass,
07ac79de-d754-49f5-91dc-1044577c8ada.npz,07ac79de-d754-49f5-91dc-1044577c8ada,584,6,60,60,60,1.0000000540167093,60,pass,
07afcf91-3f38-4474-8222-f6c429bb58ce.npz,07afcf91-3f38-4474-8222-f6c429bb58ce,54977,6,60,60,60,0.999999961728463,60,pass,
07b66900-91bc-4344-b015-ea2129652945.npz,07b66900-91bc-4344-b015-ea2129652945,48491,6,60,60,60,1.0000000116265255,60,pass,
07bacd72-5599-4c36-915c-8e4f2dd04c88.npz,07bacd72-5599-4c36-915c-8e4f2dd04c88,134702,6,60,60,60,1.0000000298023224,60,pass,
07bd31be-3a7a-45c8-81a2-2c28296f52a7.npz,07bd31be-3a7a-45c8-81a2-2c28296f52a7,34847,6,60,60,60,1.000000016298145,60,pass,
07bd4896-8921-44eb-82d4-423056ab6446.npz,07bd4896-8921-44eb-82d4-423056ab6446,207523,6,60,60,60,1.0000000442378223,60,pass,
07c478d7-e458-4693-85f2-5cca1e3c64af.npz,07c478d7-e458-4693-85f2-5cca1e3c64af,55958,6,60,60,60,0.9999999686988303,60,pass,
07c8d65e-b877-4b9a-a8b8-fb85a584563e.npz,07c8d65e-b877-4b9a-a8b8-fb85a584563e,69728,6,60,60,60,1.0000000330499361,60,pass,
