policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
baseline,top1,,,10000,159,225,0.0225,119,106,106,40,9735,0.7484276729559748,0.5288888888888889,0.010771263083020018,0.6197916666666666
baseline,worst_case,,,10000,159,558,0.0558,141,417,417,18,9424,0.8867924528301887,0.25268817204301075,0.0423737425058429,0.39330543933054396
probability_filter,probability_aware_theta_0,theta,0.0,10000,159,558,0.0558,141,417,417,18,9424,0.8867924528301887,0.25268817204301075,0.0423737425058429,0.39330543933054396
probability_filter,probability_aware_theta_0.001,theta,0.001,10000,159,515,0.0515,141,374,374,18,9467,0.8867924528301887,0.2737864077669903,0.03800426785895742,0.4183976261127597
probability_filter,probability_aware_theta_0.01,theta,0.01,10000,159,451,0.0451,139,312,312,20,9529,0.8742138364779874,0.3082039911308204,0.031704095112285335,0.4557377049180329
probability_filter,probability_aware_theta_0.03,theta,0.03,10000,159,398,0.0398,138,260,260,21,9581,0.8679245283018868,0.34673366834170855,0.026420079260237782,0.49551166965888693
probability_filter,probability_aware_theta_0.05,theta,0.05,10000,159,374,0.0374,137,237,237,22,9604,0.8616352201257862,0.3663101604278075,0.02408291840260136,0.5140712945590995
probability_filter,probability_aware_theta_0.1,theta,0.1,10000,159,330,0.033,132,198,198,27,9643,0.8301886792452831,0.4,0.020119906513565693,0.5398773006134969
probability_filter,probability_aware_theta_0.2,theta,0.2,10000,159,282,0.0282,129,153,153,30,9688,0.8113207547169812,0.4574468085106383,0.015547200487755309,0.5850340136054423
probability_filter,probability_aware_theta_0.3,theta,0.3,10000,159,237,0.0237,119,118,118,40,9723,0.7484276729559748,0.5021097046413502,0.011990651356569454,0.601010101010101
probability_filter,probability_aware_theta_0.5,theta,0.5,10000,159,225,0.0225,119,106,106,40,9735,0.7484276729559748,0.5288888888888889,0.010771263083020018,0.6197916666666666
