policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
risk_score,expected_loss,eta,0.0,500,8,500,1.0,8,492,492,0,0,1.0,0.016,1.0,0.031496062992125984
risk_score,expected_loss,eta,1e-06,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
risk_score,expected_loss,eta,6.511684695752915e-06,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
risk_score,expected_loss,eta,1e-05,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,expected_loss,eta,0.0001,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,expected_loss,eta,0.00013447485457031887,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,expected_loss,eta,0.00041118385312113013,500,8,29,0.058,7,22,22,1,470,0.875,0.2413793103448276,0.044715447154471545,0.3783783783783784
risk_score,expected_loss,eta,0.0004964775285167402,500,8,28,0.056,7,21,21,1,471,0.875,0.25,0.042682926829268296,0.3888888888888889
risk_score,expected_loss,eta,0.0005,500,8,27,0.054,7,20,20,1,472,0.875,0.25925925925925924,0.04065040650406504,0.39999999999999997
risk_score,expected_loss,eta,0.0009981617667355397,500,8,27,0.054,7,20,20,1,472,0.875,0.25925925925925924,0.04065040650406504,0.39999999999999997
risk_score,expected_loss,eta,0.001,500,8,26,0.052,6,20,20,2,472,0.75,0.23076923076923078,0.04065040650406504,0.3529411764705882
risk_score,expected_loss,eta,0.0016507180613060818,500,8,26,0.052,6,20,20,2,472,0.75,0.23076923076923078,0.04065040650406504,0.3529411764705882
risk_score,expected_loss,eta,0.0025,500,8,25,0.05,6,19,19,2,473,0.75,0.24,0.03861788617886179,0.36363636363636365
risk_score,expected_loss,eta,0.0035787881888774183,500,8,25,0.05,6,19,19,2,473,0.75,0.24,0.03861788617886179,0.36363636363636365
risk_score,expected_loss,eta,0.005,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
risk_score,expected_loss,eta,0.005650965055529519,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
risk_score,expected_loss,eta,0.007801629962139805,500,8,23,0.046,6,17,17,2,475,0.75,0.2608695652173913,0.034552845528455285,0.3870967741935483
risk_score,expected_loss,eta,0.008551270643519618,500,8,22,0.044,6,16,16,2,476,0.75,0.2727272727272727,0.032520325203252036,0.39999999999999997
risk_score,expected_loss,eta,0.009050994947010869,500,8,21,0.042,6,15,15,2,477,0.75,0.2857142857142857,0.03048780487804878,0.4137931034482759
risk_score,expected_loss,eta,0.01,500,8,20,0.04,5,15,15,3,477,0.625,0.25,0.03048780487804878,0.35714285714285715
risk_score,expected_loss,eta,0.010840012468639543,500,8,20,0.04,5,15,15,3,477,0.625,0.25,0.03048780487804878,0.35714285714285715
risk_score,expected_loss,eta,0.01436206081902856,500,8,19,0.038,5,14,14,3,478,0.625,0.2631578947368421,0.028455284552845527,0.37037037037037035
risk_score,expected_loss,eta,0.01835257045365426,500,8,18,0.036,4,14,14,4,478,0.5,0.2222222222222222,0.028455284552845527,0.30769230769230765
risk_score,expected_loss,eta,0.02,500,8,17,0.034,4,13,13,4,479,0.5,0.23529411764705882,0.026422764227642278,0.31999999999999995
risk_score,expected_loss,eta,0.020453456659959637,500,8,17,0.034,4,13,13,4,479,0.5,0.23529411764705882,0.026422764227642278,0.31999999999999995
risk_score,expected_loss,eta,0.023640142084766586,500,8,16,0.032,4,12,12,4,480,0.5,0.25,0.024390243902439025,0.3333333333333333
risk_score,expected_loss,eta,0.029800567320350774,500,8,15,0.03,4,11,11,4,481,0.5,0.26666666666666666,0.022357723577235773,0.3478260869565218
