policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
risk_score,risk_mass,rho,0.0,500,8,500,1.0,8,492,492,0,0,1.0,0.016,1.0,0.031496062992125984
risk_score,risk_mass,rho,1e-06,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
risk_score,risk_mass,rho,7.162484052969376e-06,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
risk_score,risk_mass,rho,1e-05,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,risk_mass,rho,0.0001,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,risk_mass,rho,0.0005,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,risk_mass,rho,0.0005698344320990145,500,8,30,0.06,7,23,23,1,469,0.875,0.23333333333333334,0.046747967479674794,0.3684210526315789
risk_score,risk_mass,rho,0.001,500,8,29,0.058,7,22,22,1,470,0.875,0.2413793103448276,0.044715447154471545,0.3783783783783784
risk_score,risk_mass,rho,0.001647657947614789,500,8,29,0.058,7,22,22,1,470,0.875,0.2413793103448276,0.044715447154471545,0.3783783783783784
risk_score,risk_mass,rho,0.0025,500,8,28,0.056,7,21,21,1,471,0.875,0.25,0.042682926829268296,0.3888888888888889
risk_score,risk_mass,rho,0.004056402714923024,500,8,28,0.056,7,21,21,1,471,0.875,0.25,0.042682926829268296,0.3888888888888889
risk_score,risk_mass,rho,0.00415052252355963,500,8,27,0.054,7,20,20,1,472,0.875,0.25925925925925924,0.04065040650406504,0.39999999999999997
risk_score,risk_mass,rho,0.004559591878205538,500,8,26,0.052,6,20,20,2,472,0.75,0.23076923076923078,0.04065040650406504,0.3529411764705882
risk_score,risk_mass,rho,0.005,500,8,25,0.05,6,19,19,2,473,0.75,0.24,0.03861788617886179,0.36363636363636365
risk_score,risk_mass,rho,0.009942138567566872,500,8,25,0.05,6,19,19,2,473,0.75,0.24,0.03861788617886179,0.36363636363636365
risk_score,risk_mass,rho,0.01,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
risk_score,risk_mass,rho,0.02,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
risk_score,risk_mass,rho,0.02148459106683731,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
risk_score,risk_mass,rho,0.024044949561357498,500,8,23,0.046,6,17,17,2,475,0.75,0.2608695652173913,0.034552845528455285,0.3870967741935483
risk_score,risk_mass,rho,0.02871658280491829,500,8,22,0.044,6,16,16,2,476,0.75,0.2727272727272727,0.032520325203252036,0.39999999999999997
risk_score,risk_mass,rho,0.0297787357121706,500,8,21,0.042,6,15,15,2,477,0.75,0.2857142857142857,0.03048780487804878,0.4137931034482759
risk_score,risk_mass,rho,0.03,500,8,20,0.04,6,14,14,2,478,0.75,0.3,0.028455284552845527,0.4285714285714285
risk_score,risk_mass,rho,0.04,500,8,20,0.04,6,14,14,2,478,0.75,0.3,0.028455284552845527,0.4285714285714285
risk_score,risk_mass,rho,0.05,500,8,20,0.04,6,14,14,2,478,0.75,0.3,0.028455284552845527,0.4285714285714285
risk_score,risk_mass,rho,0.05772773548960686,500,8,20,0.04,6,14,14,2,478,0.75,0.3,0.028455284552845527,0.4285714285714285
risk_score,risk_mass,rho,0.06,500,8,19,0.038,6,13,13,2,479,0.75,0.3157894736842105,0.026422764227642278,0.44444444444444436
risk_score,risk_mass,rho,0.06104550324380398,500,8,19,0.038,6,13,13,2,479,0.75,0.3157894736842105,0.026422764227642278,0.44444444444444436
risk_score,risk_mass,rho,0.07,500,8,18,0.036,6,12,12,2,480,0.75,0.3333333333333333,0.024390243902439025,0.46153846153846156
risk_score,risk_mass,rho,0.08,500,8,18,0.036,6,12,12,2,480,0.75,0.3333333333333333,0.024390243902439025,0.46153846153846156
risk_score,risk_mass,rho,0.09,500,8,18,0.036,6,12,12,2,480,0.75,0.3333333333333333,0.024390243902439025,0.46153846153846156
risk_score,risk_mass,rho,0.1,500,8,18,0.036,6,12,12,2,480,0.75,0.3333333333333333,0.024390243902439025,0.46153846153846156
risk_score,risk_mass,rho,0.11166763305664062,500,8,18,0.036,6,12,12,2,480,0.75,0.3333333333333333,0.024390243902439025,0.46153846153846156
risk_score,risk_mass,rho,0.11282992642372847,500,8,17,0.034,6,11,11,2,481,0.75,0.35294117647058826,0.022357723577235773,0.48
risk_score,risk_mass,rho,0.125,500,8,16,0.032,6,10,10,2,482,0.75,0.375,0.02032520325203252,0.5
risk_score,risk_mass,rho,0.13570374995470047,500,8,16,0.032,6,10,10,2,482,0.75,0.375,0.02032520325203252,0.5
risk_score,risk_mass,rho,0.15,500,8,15,0.03,6,9,9,2,483,0.75,0.4,0.018292682926829267,0.5217391304347827
risk_score,risk_mass,rho,0.1647169697098434,500,8,15,0.03,6,9,9,2,483,0.75,0.4,0.018292682926829267,0.5217391304347827
risk_score,risk_mass,rho,0.175,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.2,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.225,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.25,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.275,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.3,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.325,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.35,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.375,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.4,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.41513559012673795,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
risk_score,risk_mass,rho,0.425,500,8,13,0.026,5,8,8,3,484,0.625,0.38461538461538464,0.016260162601626018,0.4761904761904762
risk_score,risk_mass,rho,0.4402345195412636,500,8,13,0.026,5,8,8,3,484,0.625,0.38461538461538464,0.016260162601626018,0.4761904761904762
risk_score,risk_mass,rho,0.45,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.475,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.5,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.546128336340189,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.55,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.6,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.65,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.7,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.7071896195411682,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
